IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Esophagus - Mucosa_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Colon - Transverse_GTExTPM,Fallopian Tube_GTExTPM,Cervix - Endocervix_GTExTPM,Adipose - Subcutaneous_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Tibial_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cerebellum_GTExTPM,Artery - Aorta_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,Brain - Hippocampus_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Brain - Cortex_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,ExomiserScore,Testis_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,Colon_Transverse_GTExFC,Pituitary_GTExFC,GDI_Score,Nerve_Tibial_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Prostate_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,Brain_Cortex_GTExFC,Uterus_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Stomach_GTExFC,SDI,Breast_Mammary_Tissue_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Cerebellum_GTExFC,Colon_Sigmoid_GTExFC,Artery_Coronary_GTExFC,Ovary_GTExFC,Minor_Salivary_Gland_GTExFC,Lung_GTExFC,Brain_Substantia_nigra_GTExFC,HIPred,Adrenal_Gland_GTExFC,pLI_ExAC,Kidney_Cortex_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Vagina_GTExFC,Adipose_Subcutaneous_GTExFC,Thyroid_GTExFC,Adipose_Visceral_Omentum_GTExFC,Artery_Aorta_GTExFC,Spleen_GTExFC,Brain_Amygdala_GTExFC,Esophagus_Gastroesophageal_Junction_GTExFC,Artery_Tibial_GTExFC,Esophagus_Muscularis_GTExFC,Heart_Atrial_Appendage_GTExFC,logpval_gwascatalog,Esophagus_Mucosa_GTExFC,Liver_GTExFC,Pancreas_GTExFC,Heart_Left_Ventricle_GTExFC,Cells_Cultured_fibroblasts_GTExFC
1.0,1.0,58.0,-0.4131,16.1667,4.15827,6.55882,8.69046,4.51777,7.48648,7.7743699999999984,13.0768,1.44118,1.05469,7.75639,2.38603,2.37503,5.13089,1.92401,1.78365,2.04671,0.506314,8.48129,21.8175,5.209969999999998,0.016107299999999998,1.27613,3.21715,18.294,11.6318,16.971,12.8344,2.63463,12.8141,1.91818,2.25337,2.2652400000000004,0.382471,0.418858,5.99089,2.18052,1.6921700000000002,1.18345,1.0159,1.40359,1.90986,16.5493,0.0393093,11.3598,0.884429274,-0.242594,1.762772,-0.619337,0.568715,117.11773,0.163588,-0.469268,-0.478721,-0.317595,-0.972996,0.50041,0.250539,0.749893,0.364388,0.556739,-0.370917,4.77784717,0.937921,0.314485,-0.481913,-1.6628919999999998,-0.707662,-1.363194,0.667657,0.429516,0.334298,1.055216,-0.216938,-3.589953,0.670620084,-0.898063,0.000700542902364641,-5.596209,0.360312,1.240184,0.452557,-0.612165,-0.307203,-0.274756,-0.714465,0.431753,-0.388801,0.215019,-0.184034,0.100848,7.0,0.199361,0.452316,-0.306754,-0.120954,0.697642
0.0,0.0,101.0,-0.2458,0.0,0.0,0.0,0.0,0.06751439999999999,0.0,0.0,0.0,0.0,0.0,0.0881035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725081,0.0,0.20615005535999997,-1.4988195700000013,-3.2450349000000034,0.12971929999999987,0.2693463900000001,413.4806525000001,-0.50244825,-0.18468636999999988,-0.48829374999999997,-0.7044388900000002,-1.9263627799999987,-3.595841290000004,-1.0138771300000007,-1.03719539,0.6947731300000001,0.47075819,-1.18859804,3.7715086259000032,-0.8075088199999993,0.027403649999999936,-2.808004510000001,-3.495509800000002,-0.5019418800000001,-1.0113924899999998,-2.51762838,-0.5170403000000002,-1.8035155099999998,-3.769174610000004,-1.2517793399999986,-1.4947837699999997,0.30510600889999984,-2.1790266099999993,0.1111969628727664,-0.5830966499999999,-3.3166549400000025,-2.942342440000003,-4.275160520000007,-0.47496601999999977,-4.888117690000002,-2.62074434,0.06378685999999996,-3.4164497600000017,-2.8260538500000005,-0.5248077699999998,-1.09110862,-0.3746312600000001,54.22693528879695,-0.29418750000000005,-1.4036484099999997,-2.3441167999999983,-1.6915954000000004,-5.582613010000013
0.0,0.0,170.0,0.3065,40.5301451,38.51307699999998,46.132864000000026,17.124436369999998,35.890122999999974,24.4847569,50.60403,43.83512800000003,41.693767999999984,29.176467000000017,44.33949699999997,37.25162899999996,43.52437900000001,45.166031000000004,43.48110500000007,46.35356999999998,27.497857999999997,60.53423149999997,53.45526099999997,62.159134000000016,44.198458999999964,18.87681872899999,14.9823827,40.330254,52.88677700000003,76.69251799999994,44.95043600000001,41.71717299999998,36.874012999999984,46.857832,18.31103599999999,20.914756000000015,26.804339999999996,41.38124599999999,42.80307399999997,43.411763000000036,25.32127200000001,18.56553300000002,22.883880000000012,36.69743200000002,23.062739,22.663188,51.424831000000005,83.98849890000001,62.72591100000004,0.4597247132699999,-0.00826162,0.03251129,-0.03879538999999999,-0.01830968,86.29137,0.013565780000000001,-0.08889788000000004,-0.008021439999999998,-0.044798999999999964,0.06938878999999998,-0.021457230000000004,-0.020895769999999998,0.02390411000000002,-0.08571622000000001,0.0018610500000000058,0.029054270000000004,5.0274436803,-0.005753290000000001,0.008819980000000007,-0.016435299999999972,0.07579550999999998,-0.036386659999999994,0.07171765999999996,-0.054047200000000004,-0.0017521200000000046,-0.0032029100000000033,0.03375415000000002,-0.0358479,-0.029961200000000004,0.6672647262399998,-0.027795010000000016,0.6411730862854307,-0.1701205,-0.08302855000000003,-0.09956798000000003,-0.0035446699999999976,-0.023980730000000002,-0.009723289999999997,0.027121750000000007,-0.06799158,-0.19114920999999996,0.07003205000000001,0.0054455799999999985,-0.055769990000000005,-0.0340984,269.221848749616,-0.02152435000000002,-0.08973421000000002,-0.06093331000000004,0.012360799999999991,0.0034999399999999957
0.0,0.0,27.0,-0.2385,40.77225429999999,36.70136399999999,44.64706800000003,18.070505299999997,35.83034499999998,24.061246999999998,49.627773,44.529238000000035,43.200684999999986,27.031197400000018,39.16255599999996,35.56960399999997,44.32858800000002,44.30865000000001,42.03735600000005,43.012541999999975,27.51419699999999,51.797175799999984,53.04445999999998,61.59099900000003,43.44925699999997,16.293137799999982,14.520739999999998,39.16095499999999,50.90697700000003,75.20002499999994,45.129057,40.48299799999998,37.154323,44.99330300000001,18.216634999999993,20.767329000000018,24.031078,32.27877300000001,30.91203400000001,43.47391300000004,25.774109000000017,18.763658000000024,22.249782000000014,36.72786000000002,22.870191,22.685088999999998,52.517171000000005,64.01170499999998,63.425114000000036,0.49310667822000015,0.035802900000000006,0.05949932,-0.06200429999999999,0.0023450599999999995,275.1307240999999,0.01319878,-0.06492561000000002,-0.043553680000000004,-0.008889799999999996,0.06791563,-0.017365790000000006,0.0011628099999999976,0.05032947999999998,-0.08895643000000003,-0.025948069999999993,0.015869770000000002,6.763030767900001,-0.006171439999999999,0.010861940000000006,0.009472650000000003,0.059985779999999995,0.010831910000000002,0.043752569999999984,-0.06437644,0.0021527899999999925,-0.007318120000000004,0.04100281000000003,-0.03245423,0.021942719999999985,0.7672508050799998,-0.004774019999999999,0.9834667734314938,-0.19377168000000006,-0.10159153999999998,-0.05598910999999998,-0.004649899999999998,-0.04173795999999998,-0.010709199999999997,0.02953765,-0.03879893999999999,-0.047302380000000005,0.08197101999999998,-0.006584620000000005,-0.033188209999999996,-0.03812975000000001,35.778435402218655,-0.020438740000000014,0.057430070000000076,-0.07065572,0.009794399999999998,-0.0007934799999999992
0.0,0.0,50.0,-0.6337,0.0,0.305116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947901,0.449319,0.0,4.488180000000002,0.0,0.0,0.0,0.0,0.0,0.106778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22940567061000003,-0.230799,-2.8370192800000016,1.53313,-0.6116520399999998,363.5073195999999,-1.25298035,-0.8664358400000002,-0.38967084999999996,-0.4658582099999999,-1.9569517599999993,-3.5054630300000036,-0.8032937700000004,-1.8523411799999996,0.2595136999999999,0.3424638399999999,-1.1858625400000007,3.6083980524000014,-0.9118380499999994,-1.2829006200000008,-2.8537845099999997,-2.78155715,-0.7251857100000003,-0.9210695599999998,-2.49589576,-1.56508114,-1.5285269800000003,-6.643856,-0.48159027000000004,-0.6236032299999998,0.26571904156999976,-1.4457585799999995,0.11453766295316038,-0.4192474499999998,-1.4713359499999998,-2.830338790000001,-4.322578140000007,-0.7010334199999997,-3.5059660899999994,-1.901790089999998,1.7575439999999998,-3.3862127900000014,-2.9250491600000017,-0.4731296199999997,-1.6821945599999995,-0.4324201099999999,106.52097505953934,-0.33121733,-1.0801200499999997,-0.9768472200000002,-1.6418821999999997,-5.803220740000013
0.0,0.0,7.0,-0.3032,3.35894,16.0221,14.7093,41.5886,14.827,7.2965300000000015,33.0194,24.7069,6.973510000000001,16.2436,32.1197,11.1244,23.8061,29.9237,27.0472,20.5467,12.5673,7.19681,36.2435,33.4278,19.5113,4.45746,9.94938,18.1239,34.6796,37.3249,15.5006,11.6054,17.6493,25.8578,9.65303,11.9771,12.402,28.141,29.1942,31.5876,13.1628,8.221060000000001,10.4895,8.03246,7.8474,14.1546,7.39814,12.062,26.3404,0.0,0.195067,0.13759100000000002,0.16434200000000002,0.155903,139.59497,0.164554,0.13534200000000002,0.215964,-0.343331,-0.187296,0.111951,0.169534,-0.7602939999999999,0.153864,0.140473,-0.199881,3.9455354036999983,0.189852,0.142542,0.29971,0.196448,0.254966,0.264815,0.08809199999999999,0.329856,-0.245238,-0.235751,0.158275,-0.35559,0.123297259,0.127277,1.82643064951694e-05,-0.471042,0.143683,0.206827,0.108274,0.227652,0.129747,0.124436,0.15601700000000002,0.046359,0.1444,0.114946,0.096696,-0.182347,26.096910013008102,0.182662,-0.201564,0.13,0.151086,-0.194971
0.0,1.0,36.0,0.399,1.42466,8.69263,38.9633,0.520167,2.02982,2.92323,5.10211,4.93844,3.44775,3.8524,2.74678,3.26526,12.4842,9.54126,64.7819,2.9618,3.68586,112.341,22.3236,5.2645300000000015,4.84882,0.311329,1.77716,10.0688,3.49419,8.66642,16.055,8.79466,3.1546,1.95095,1.00705,2.02523,8.16067,1.7152599999999998,2.0224900000000003,2.80692,2.72993,1.10272,1.83437,0.8011550000000001,0.598217,3.34507,6.40418,0.157691,12.3299,0.930627006,0.354105,-0.38331,0.8744870000000001,0.926743,1006.9095,-0.316966,0.050503,1.0388540000000002,-0.346445,-2.775792,-0.5975659999999999,-0.202015,4.581918,-0.327757,-0.385567,0.385561,7.94256213,0.944708,2.700781,0.926871,1.161607,-0.532507,-0.5097520000000001,-0.515339,-2.652866,0.285139,-4.321279,0.722897,1.568196,0.158249199,-0.713167,4.6328287445364795e-18,1.735656,-0.879318,0.8571219999999999,-0.32926500000000003,0.462274,-0.332614,-0.326273,0.719534,1.613899,-0.844606,-3.331605,-1.407942,-2.3073330000000003,13.1549019599857,0.89312,0.402958,-0.6966289999999999,-6.643856,-0.60998
0.0,0.0,58.0,0.505,0.531014,2.77802,2.54157,0.983033,0.829593,0.688792,5.0086900000000005,1.11174,1.2842,0.557365,3.57771,2.39195,1.67737,2.61305,1.44945,1.59581,1.10039,2.38018,2.75687,2.73991,2.95724,0.26066300000000003,0.8473299999999999,1.24721,1.84908,4.07111,2.0211900000000003,1.09077,0.7779149999999999,1.40802,0.169381,0.226442,0.269187,0.390264,0.589299,1.42027,0.278562,0.2023,0.25666100000000003,0.571693,0.258199,0.44484,1.26318,0.810828,3.59844,0.0,-0.350683,0.394744,-0.437277,-0.21887,1076.3561290999999,0.629067,-0.716863,-1.849698,2.189079,-0.25014899999999995,-6.643856,-0.464271,-1.2009,-1.4208040000000002,0.282879,-0.404168,4.6198172816,0.923261,-1.002535,-6.643856,-0.7308640000000001,-0.828298,-0.544115,-0.8158270000000001,0.824622,0.742987,-0.477114,-0.208711,1.797581,0.40780185918000017,-0.6889569999999999,0.08814536117917304,-0.681563,0.918937,1.032267,0.453919,-0.135524,0.588321,-0.609815,0.777818,-1.670413,-0.6552279999999999,-0.250975,0.212145,-1.240788,162.85143029609264,-0.228519,-0.473105,0.463593,1.290758,0.56893
0.0,1.0,2.0,0.2084,5.03811,2.67546,1.05922,4.6432,5.71468,1.82702,10.0526,7.61383,0.8917649999999999,3.54464,2.65881,2.15888,0.807384,2.67347,3.88333,13.1199,2.42659,3.12083,2.94785,6.14392,2.50069,0.05327330000000001,0.527113,2.88098,5.08615,3.3402199999999995,10.0737,7.30688,2.6396,5.07909,0.778696,0.341963,2.05341,0.287553,0.437873,5.78587,0.413968,0.759966,0.498942,1.82207,0.521884,0.528475,0.0129655,0.209253,3.3449800000000005,0.514240382,2.6821740000000003,0.403192,0.5601619999999999,1.684791,62.69651999999999,0.680528,1.762535,0.768296,-6.643856,-6.643856,-0.6337229999999999,-0.937578,0.695527,1.404356,0.375199,0.642837,2.80622297,0.621135,0.8697090000000001,0.626748,-4.162617,-2.080092,-1.804823,0.432906,-5.868582,0.471321,2.751355,-0.583585,-3.132977,0.238498077,-0.508074,0.000244368543397983,1.571998,-0.392839,-0.8451639999999999,0.70799,0.978231,0.627236,-2.644711,1.004368,-1.411526,0.579257,-0.499896,0.477762,-0.600593,78.52626990288513,1.201099,1.073882,-0.481123,0.436466,0.26103842999999993
0.0,1.0,280.0,-0.4145,0.121381,0.358247,24.2928,0.182195,1.20876,14.5952,0.215442,4.74399,0.704522,0.914839,0.137768,0.637834,0.313522,5.6334300000000015,2.97196,2.4516,0.900845,1.23019,1.10683,0.150501,0.28367800000000004,0.0938949,0.532266,1.97173,0.225416,0.142206,2.07904,5.24908,0.13308699999999998,0.102387,3.85523,6.8799,6.93907,0.936963,1.50691,0.168653,11.323,2.95284,2.21775,0.829399,2.71917,12.0295,0.014750799999999996,0.6053,0.13325499999999998,0.5706635320000001,0.693304,0.778546,-0.437346,-3.161312,95.03749,-2.701629,-0.647004,-0.344381,0.235568,-5.16079,1.260947,-0.20941,-6.643856,1.5065879999999998,-1.816217,1.107148,2.91936788,-1.201365,-0.783462,-6.643856,2.422936,0.359533,-1.184796,-0.647977,-0.605254,-6.643856,0.766178,0.892756,-0.366002,0.5954970578499998,0.708237,0.20159568182412382,1.426404,1.908354,4.192702,0.65056,1.0319200000000002,-1.7972740000000005,0.454216,0.981224,2.368384,-1.313032,0.703637,0.322612,-0.382947,23.2218487496164,-0.288578,-6.643856,-0.735346,0.225935,-0.017490429999999987
